[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20004432  0.075039    0.33999604],[-0.27095312  0.10650947  0.5018611 ],[-0.35806289  0.14517185  0.70069718],[-0.34478265  0.17002881  0.87771511],[-0.33109459  0.13612384  1.10497689],[-0.32111683  0.21248777  1.18022656]
[-0.19999999  0.075       0.1525    ],[-0.20005175  0.07505509  0.33999464],[-0.28078657  0.11188022  0.4960202 ],[-0.37996796  0.15712237  0.68768209],[-0.37628362  0.20040327  0.86158788],[-0.36478215  0.19074327  1.09128058],[-0.38062829  0.27319947  1.15868688]
[-0.19999999  0.075       0.1525    ],[-0.20008434  0.07506197  0.33999199],[-0.28672522  0.11203862  0.49277455],[-0.39316487  0.15746765  0.68045539],[-0.42645824  0.21006916  0.84854734],[-0.4523252   0.21522841  1.07721043],[-0.493285    0.29689521  1.13418758]
[-0.19999999  0.075       0.1525    ],[-0.20008251  0.07506208  0.33999214],[-0.28522098  0.11389814  0.49315721],[-0.38981503  0.16161153  0.68130851],[-0.42836991  0.21392724  0.84836227],[-0.46096957  0.21882643  1.07616913],[-0.50193286  0.30095097  1.13248253]
[-0.19999999  0.075       0.1525    ],[-0.20009723  0.07505611  0.33999121],[-0.29137057  0.1112491   0.4902401 ],[-0.40350291  0.15571488  0.67481261],[-0.4527725   0.20032533  0.84128273],[-0.51438624  0.19220188  1.0629164 ],[-0.54452753  0.27606338  1.12335098]
[-0.19999999  0.075       0.1525    ],[-0.20006615  0.07504709  0.33999479],[-0.2660073   0.10868186  0.50351298],[-0.34701723  0.15000415  0.70438319],[-0.37383592  0.18098241  0.87888491],[-0.42212912  0.15632442  1.10259354],[-0.41383162  0.23266315  1.17807353]
[-0.19999999  0.075       0.1525    ],[-0.20005769  0.07503856  0.33999559],[-0.26428977  0.10768384  0.50439328],[-0.34319964  0.14779012  0.7063446 ],[-0.36833754  0.17063367  0.88234466],[-0.42117444  0.13749225  1.10392284],[-0.40500414  0.20751585  1.18410254]
[-0.19999999  0.075       0.1525    ],[-0.2000826   0.07502784  0.33999446],[-0.27290779  0.09800892  0.50243026],[-0.36237708  0.12624185  0.70197594],[-0.40249878  0.14180878  0.87597936],[-0.46947822  0.09816159  1.09184003],[-0.4663851   0.16713676  1.17446184]
[-0.19999999  0.075       0.1525    ],[-0.20006767  0.07501718  0.33999571],[-0.26752758  0.0940194   0.5052402 ],[-0.35040376  0.11736386  0.70823586],[-0.38484421  0.12512767  0.88397133],[-0.4495908   0.07339891  1.09872723],[-0.42702788  0.13227981  1.18600476]
[-0.19999999  0.075       0.1525    ],[-0.20008549  0.0750383   0.33999389],[-0.26451868  0.10331927  0.50511622],[-0.3436797   0.13806452  0.70796347],[-0.40354592  0.16370894  0.87496126],[-0.51166409  0.1399647   1.07678998],[-0.48086289  0.19161384  1.16610456]
