[-0.19999999  0.075       0.1525    ],[-0.19989334  0.07507379  0.33996841],[-0.12595323  0.23845538  0.33311066],[-0.0350889   0.43918151  0.32475305],[0.13447738 0.38817388 0.29682198],[0.36351255 0.38630372 0.27388811],[0.36427447 0.30321664 0.34236524]
[-0.19999999  0.075       0.1525    ],[-0.19991419  0.07507403  0.33997026],[-0.15598971  0.24450319  0.30026799],[-0.10200264  0.45266178  0.25155956],[0.0702765  0.40326849 0.25507551],[0.30034631 0.40409634 0.24771579],[0.28460985 0.35766563 0.34357747]
[-0.19999999  0.075       0.1525    ],[-0.19993496  0.07507212  0.3399725 ],[-0.1859075   0.23950772  0.26940423],[-0.1686531   0.44153401  0.18277293],[0.00195628 0.40652373 0.22515611],[0.2307342  0.41845512 0.24763072],[0.18883444 0.40846345 0.34630898]
[-0.19999999  0.075       0.1525    ],[-0.19995478  0.07507014  0.33997479],[-0.21198975  0.22990005  0.24997032],[-0.2267589   0.42012644  0.1394559 ],[-0.06746495  0.4067412   0.2205366 ],[0.15202442 0.43801174 0.28244501],[0.08000609 0.44707441 0.36196923]
[-0.19999999  0.075       0.1525    ],[-0.19997239  0.0750671   0.33997706],[-0.23365708  0.22668386  0.24999818],[-0.2750293   0.41295952  0.13950869],[-0.13463144  0.40594169  0.2507118 ],[0.0682565  0.44359392 0.35271126],[-0.02584232  0.45152336  0.40443701]
[-0.19999999  0.075       0.1525    ],[-0.19998765  0.07507177  0.33997759],[-0.25432891  0.22057122  0.25000387],[-0.32108149  0.3993322   0.13951799],[-0.19940259  0.41502464  0.27018529],[-0.01923512  0.48122805  0.39723304],[-0.12079528  0.48183918  0.43298596]
[-0.19999999  0.075       0.1525    ],[-0.2000065   0.0750737   0.33997801],[-0.27729481  0.20979729  0.25001037],[-0.37224188  0.37532026  0.1395295 ],[-0.27529365  0.4095799   0.2863366 ],[-0.12629868  0.5010038   0.43608826],[-0.23159297  0.49023479  0.45584506]
[-0.19999999  0.075       0.1525    ],[-0.20002666  0.07507051  0.33997846],[-0.29911858  0.19474657  0.25010976],[-0.42085502  0.34178281  0.13974816],[-0.35243905  0.38585857  0.29943767],[-0.23956352  0.49240345  0.4694066 ],[-0.34492046  0.47051102  0.47313711]
[-0.19999999  0.075       0.1525    ],[-0.20005026  0.07506719  0.33997747],[-0.31754053  0.17668179  0.25004467],[-0.46188402  0.30153039  0.13960436],[-0.43047932  0.35596392  0.30745485],[-0.3743214   0.48180506  0.49182332],[-0.4707908   0.43477634  0.4831492 ]
[-0.19999999  0.075       0.1525    ],[-0.20008117  0.0750615   0.33997512],[-0.33237296  0.15637371  0.24995565],[-0.49490815  0.25628212  0.13941124],[-0.51338452  0.31631628  0.30726928],[-0.54263163  0.45119867  0.49147668],[-0.61149752  0.36937934  0.47897065]
